datetime,year,shooting_type,lat,lng
2021-09-26T08:20:00Z,2021,nonlethal,41.789388346,-87.660534654
2022-07-14T10:05:00Z,2022,lethal,41.722401654,-87.652345346
2018-05-19T00:50:00Z,2018,nonlethal,41.879396904,-87.723910941
2020-07-05T03:53:00Z,2020,nonlethal,41.904318346,-87.772424654
2021-06-23T05:39:00Z,2021,lethal,41.825073096,-87.631200941
2021-06-29T19:12:00Z,2021,nonlethal,41.796228346,-87.625444654
2021-09-01T11:03:00Z,2021,nonlethal,41.872081654,-87.727994654
2021-09-02T16:28:00Z,2021,nonlethal,41.786313096,-87.696820941
2021-11-21T23:11:00Z,2021,nonlethal,41.8755905,-87.73229
2021-11-21T23:11:00Z,2021,nonlethal,41.8755905,-87.73229
2022-06-29T23:30:00Z,2022,nonlethal,41.775248346,-87.646465346
2021-11-23T14:40:00Z,2021,nonlethal,41.866318346,-87.719904654
2022-07-13T16:18:00Z,2022,nonlethal,41.904386904,-87.695389059
2022-07-13T16:18:00Z,2022,nonlethal,41.904386904,-87.695389059
2022-07-14T17:20:00Z,2022,nonlethal,41.729863096,-87.610879059
2021-11-23T14:40:00Z,2021,nonlethal,41.866318346,-87.719904654
2022-07-23T23:50:00Z,2022,nonlethal,41.796083096,-87.667469059
2019-07-26T23:35:00Z,2019,lethal,41.894278346,-87.767334654
2022-07-25T02:12:00Z,2022,nonlethal,41.738758346,-87.674365346
2022-07-24T05:00:00Z,2022,nonlethal,41.764331654,-87.579044654
2022-07-26T00:10:00Z,2022,nonlethal,41.9419405,-87.73279
2022-07-24T17:40:00Z,2022,nonlethal,41.869921654,-87.726884654
2022-07-24T17:40:00Z,2022,nonlethal,41.869921654,-87.726884654
2022-07-25T00:00:00Z,2022,nonlethal,41.768323096,-87.680670941
2022-08-06T04:53:00Z,2022,nonlethal,41.763806904,-87.663879059
2022-07-25T13:16:00Z,2022,nonlethal,41.7297805,-87.60336
2022-12-06T16:38:00Z,2022,nonlethal,41.8791905,-87.73559
2022-07-24T15:36:00Z,2022,nonlethal,41.770366904,-87.656280941
2022-07-24T19:03:00Z,2022,lethal,41.866328346,-87.734804654
2022-07-26T21:22:00Z,2022,lethal,41.883336904,-87.746500941
2022-07-26T22:02:00Z,2022,nonlethal,41.801348346,-87.670285346
2022-07-24T03:21:00Z,2022,nonlethal,41.823378346,-87.689214654
2019-07-26T23:35:00Z,2019,lethal,41.894278346,-87.767334654
2022-07-25T13:16:00Z,2022,nonlethal,41.7297805,-87.60336
2022-12-06T18:16:00Z,2022,nonlethal,41.873796904,-87.739609059
2022-07-24T03:31:00Z,2022,nonlethal,41.680993096,-87.640379059
2022-07-26T01:55:00Z,2022,nonlethal,41.738431654,-87.667075346
2022-07-16T23:55:00Z,2022,lethal,41.758411654,-87.593235346
2022-07-17T02:38:00Z,2022,lethal,41.871400923,-87.703674317
2022-07-17T03:25:00Z,2022,lethal,41.703826904,-87.604049059
2022-07-17T21:09:00Z,2022,lethal,41.760881654,-87.641294654
2022-01-28T17:25:00Z,2022,nonlethal,41.714643096,-87.639139059
2022-07-17T02:38:00Z,2022,lethal,41.871400923,-87.703674317
2022-12-19T17:31:00Z,2022,nonlethal,41.657621654,-87.604474654
2022-07-10T01:32:00Z,2022,nonlethal,41.763791654,-87.616475346
2022-07-21T23:37:00Z,2022,nonlethal,41.7258405,-87.59746
2022-07-22T06:18:00Z,2022,nonlethal,41.845426904,-87.729879059
2022-07-04T00:00:00Z,2022,nonlethal,41.776313096,-87.615929059
2022-07-24T06:44:00Z,2022,nonlethal,41.851963096,-87.719059059
2022-07-01T01:44:00Z,2022,lethal,41.876743096,-87.633799059
2022-07-27T12:01:00Z,2022,lethal,41.758106904,-87.592530941
2022-07-30T15:05:00Z,2022,nonlethal,41.735898346,-87.643024654
2022-07-30T03:45:00Z,2022,nonlethal,41.8918705,-87.67081
2022-07-27T00:14:00Z,2022,nonlethal,41.884788346,-87.742384654
2022-07-01T01:44:00Z,2022,lethal,41.876743096,-87.633799059
2022-07-28T13:11:00Z,2022,nonlethal,41.898676904,-87.721699059
2022-07-27T15:15:00Z,2022,lethal,41.6894005,-87.63371
2022-07-28T12:12:00Z,2022,nonlethal,41.743979669,-87.653548547
2022-01-16T15:43:00Z,2022,nonlethal,41.953989669,-87.756818547
2022-07-01T22:51:00Z,2022,lethal,41.852286904,-87.631590941
2022-07-03T17:50:00Z,2022,nonlethal,41.763116904,-87.619620941
2017-03-03T08:22:00Z,2017,nonlethal,41.880723096,-87.742939059
2022-07-29T22:48:00Z,2022,nonlethal,41.873203096,-87.703020941
2022-07-27T20:40:00Z,2022,nonlethal,41.889523096,-87.758359059
2022-07-28T12:12:00Z,2022,nonlethal,41.743979669,-87.653548547
2022-07-29T20:38:00Z,2022,nonlethal,41.9019605,-87.72585
2020-05-23T00:49:00Z,2020,nonlethal,41.7565705,-87.55845
2021-07-06T20:41:00Z,2021,nonlethal,41.789868346,-87.581065346
2022-07-30T01:40:00Z,2022,nonlethal,41.763051654,-87.642075346
2022-07-28T01:10:00Z,2022,lethal,41.878551654,-87.726564654
2021-09-11T21:39:00Z,2021,lethal,41.683376904,-87.614500941
2022-07-30T19:50:00Z,2022,nonlethal,41.769723096,-87.614960941
2022-07-27T01:05:00Z,2022,lethal,41.702059653,-87.560268095
2021-09-11T21:39:00Z,2021,lethal,41.683376904,-87.614500941
2022-07-30T01:41:00Z,2022,nonlethal,41.815751654,-87.669704654
2022-07-27T00:00:00Z,2022,nonlethal,41.924623096,-87.746439059
2021-09-11T21:39:00Z,2021,lethal,41.683376904,-87.614500941
2022-07-28T03:18:00Z,2022,nonlethal,41.773468346,-87.581254654
2022-07-29T20:30:00Z,2022,nonlethal,41.828399004,-87.67879569
2022-07-30T15:05:00Z,2022,nonlethal,41.735898346,-87.643024654
2021-09-11T21:39:00Z,2021,lethal,41.683376904,-87.614500941
2021-09-11T21:39:00Z,2021,lethal,41.683376904,-87.614500941
2022-07-28T13:11:00Z,2022,nonlethal,41.898676904,-87.721699059
2022-07-27T00:14:00Z,2022,nonlethal,41.884788346,-87.742384654
2022-11-23T22:01:00Z,2022,nonlethal,41.877656904,-87.685940941
2022-11-23T22:01:00Z,2022,nonlethal,41.877656904,-87.685940941
2022-12-20T13:57:00Z,2022,nonlethal,41.726116904,-87.629400941
2021-01-23T02:10:00Z,2021,nonlethal,41.731718346,-87.554635346
2021-06-12T02:05:00Z,2021,lethal,41.758743096,-87.617490941
2021-06-12T02:05:00Z,2021,lethal,41.758743096,-87.617490941
2021-06-12T02:05:00Z,2021,lethal,41.758743096,-87.617490941
2021-06-12T02:05:00Z,2021,lethal,41.758743096,-87.617490941
2021-06-12T02:05:00Z,2021,lethal,41.758743096,-87.617490941
2022-07-01T01:44:00Z,2022,lethal,41.876743096,-87.633799059
2022-07-01T01:44:00Z,2022,lethal,41.876743096,-87.633799059
2022-12-20T09:24:00Z,2022,nonlethal,41.858331654,-87.730115346
2022-11-23T22:01:00Z,2022,nonlethal,41.877656904,-87.685940941
2022-12-20T08:11:00Z,2022,nonlethal,41.863503096,-87.711429059
2022-07-31T10:44:00Z,2022,lethal,41.743499363,-87.651729502
2022-07-30T22:43:00Z,2022,nonlethal,41.9179505,-87.73409
2022-07-31T20:35:00Z,2022,nonlethal,41.874676904,-87.725239059
2022-08-01T06:48:00Z,2022,nonlethal,41.725776267,-87.609061018
2022-07-31T12:54:00Z,2022,nonlethal,41.726868346,-87.598815346
2022-08-01T22:45:00Z,2022,nonlethal,41.863371654,-87.652664654
2022-08-01T09:43:00Z,2022,lethal,41.867923096,-87.704360941
