datetime,year,shooting_type,lat,lng
2021-09-25T19:38:00Z,2021,nonlethal,39.92995575,-75.23204853
2021-09-27T17:46:00Z,2021,nonlethal,39.93088158,-75.21788702
2021-09-27T17:44:00Z,2021,nonlethal,39.93927268,-75.2236363
2021-09-30T20:10:00Z,2021,lethal,39.93620422,-75.2291723
2021-09-30T20:53:00Z,2021,nonlethal,39.92998384,-75.21939579
2021-09-30T20:53:00Z,2021,nonlethal,39.92998384,-75.21939579
2021-10-01T15:30:00Z,2021,lethal,39.91289211,-75.24377056
2021-10-01T15:30:00Z,2021,nonlethal,39.91289211,-75.24377056
2021-10-02T20:41:00Z,2021,nonlethal,39.94533263,-75.22728649
2021-10-06T15:13:00Z,2021,lethal,39.9450923,-75.23186166
2021-10-07T15:07:00Z,2021,nonlethal,39.93741529,-75.22026366
2021-10-07T20:17:00Z,2021,nonlethal,39.92465643,-75.23660484
2021-10-16T15:16:00Z,2021,nonlethal,39.94655547,-75.23378638
2021-10-23T04:07:00Z,2021,nonlethal,39.90724559,-75.22332746
2021-10-24T20:34:00Z,2021,lethal,39.90357806,-75.23904515
2021-10-24T20:34:00Z,2021,nonlethal,39.90357806,-75.23904515
2021-10-28T01:51:00Z,2021,nonlethal,39.94403583,-75.23273159
2021-10-28T01:51:00Z,2021,nonlethal,39.94403583,-75.23273159
2021-10-30T23:12:00Z,2021,nonlethal,39.93280449,-75.21566876
2021-10-30T23:12:00Z,2021,nonlethal,39.93280449,-75.21566876
2021-11-01T14:30:00Z,2021,nonlethal,39.9380665,-75.21645532
2021-11-02T17:50:00Z,2021,nonlethal,39.91369121,-75.24245709
2021-11-06T01:07:00Z,2021,lethal,39.93202412,-75.23286095
2021-11-07T23:03:00Z,2021,lethal,39.94565352,-75.2279971
2021-11-17T15:00:00Z,2021,nonlethal,39.91696391,-75.23464254
2021-11-21T22:12:00Z,2021,nonlethal,39.92812404,-75.23062794
2021-11-23T22:31:00Z,2021,lethal,39.92812404,-75.23062794
2021-03-06T14:54:00Z,2021,lethal,40.0164978,-75.06510106
2021-03-10T02:52:00Z,2021,nonlethal,40.03908154,-75.03443404
2021-03-13T18:34:00Z,2021,nonlethal,40.01502909,-75.07724011
2021-03-13T18:34:00Z,2021,nonlethal,40.01502909,-75.07724011
2021-03-14T01:52:00Z,2021,lethal,39.99927873,-75.06976371
2021-03-17T19:52:00Z,2021,nonlethal,40.02275259,-75.07886477
2021-03-18T08:45:00Z,2021,nonlethal,40.01605517,-75.08444903
2021-03-18T15:51:00Z,2021,nonlethal,40.02444457,-75.08119157
2021-03-22T18:02:00Z,2021,lethal,40.0209826,-75.08197693
2021-03-26T17:45:00Z,2021,lethal,40.01772511,-75.08385067
2021-03-26T18:10:00Z,2021,nonlethal,40.03223609,-75.06447874
2021-03-29T14:28:00Z,2021,nonlethal,40.01679273,-75.0725846
2021-04-12T23:38:00Z,2021,nonlethal,40.03748064,-75.03226717
2021-04-13T18:08:00Z,2021,lethal,40.01504192,-75.07010513
2021-04-16T10:06:00Z,2021,nonlethal,40.0493232,-75.03318799
2021-04-18T23:12:00Z,2021,lethal,40.01611341,-75.08573605
2021-04-25T01:08:00Z,2021,nonlethal,40.02177936,-75.05146633
2021-04-27T22:00:00Z,2021,nonlethal,40.02796748,-75.05980636
2021-04-27T23:20:00Z,2021,nonlethal,40.01682962,-75.06648625
2021-05-02T22:53:00Z,2021,nonlethal,40.01505258,-75.07005721
2021-05-02T22:53:00Z,2021,nonlethal,40.01505258,-75.07005721
2021-05-02T22:53:00Z,2021,nonlethal,40.01505258,-75.07005721
2021-05-02T22:53:00Z,2021,lethal,40.01505258,-75.07005721
2021-05-04T15:02:00Z,2021,nonlethal,40.03363202,-75.03429377
2021-05-05T12:05:00Z,2021,nonlethal,40.03193659,-75.03746033
2021-05-08T05:04:00Z,2021,lethal,40.02170602,-75.07625389
2021-05-11T01:40:00Z,2021,nonlethal,40.01979476,-75.08099802
2021-11-26T13:45:00Z,2021,nonlethal,39.90486384,-75.2473959
2021-11-28T15:12:00Z,2021,nonlethal,39.94091344,-75.21507097
2021-11-28T15:12:00Z,2021,nonlethal,39.94091344,-75.21507097
2021-11-28T15:12:00Z,2021,nonlethal,39.94091344,-75.21507097
2021-11-28T15:12:00Z,2021,nonlethal,39.94091344,-75.21507097
2021-11-30T10:08:00Z,2021,nonlethal,39.93224342,-75.21589063
2021-11-30T10:08:00Z,2021,nonlethal,39.93224342,-75.21589063
2021-12-13T17:10:00Z,2021,nonlethal,39.93953949,-75.22031381
2021-12-16T10:09:00Z,2021,nonlethal,39.94349069,-75.24677073
2021-12-18T13:54:00Z,2021,lethal,39.94388768,-75.22813511
2021-12-18T22:45:00Z,2021,nonlethal,39.93263836,-75.23198994
2021-12-19T23:27:00Z,2021,nonlethal,39.9275,-75.2343639
2021-12-20T20:56:00Z,2021,nonlethal,39.94355742,-75.22309851
2021-12-22T05:09:00Z,2021,nonlethal,39.94594919,-75.23967789
2021-12-30T21:12:00Z,2021,nonlethal,39.91222141,-75.22863699
2021-12-27T00:53:00Z,2021,nonlethal,39.92143508,-75.24312472
2021-12-29T21:01:00Z,2021,nonlethal,39.92181339,-75.23980269
2021-01-07T00:50:00Z,2021,nonlethal,40.04669829,-75.15817144
2021-01-07T01:30:00Z,2021,lethal,40.05428863,-75.16041221
2021-01-12T18:10:00Z,2021,nonlethal,40.04827629,-75.16020351
2021-01-16T13:19:00Z,2021,nonlethal,40.05425355,-75.15779219
2021-01-17T21:20:00Z,2021,nonlethal,40.07726548,-75.17125672
2021-01-28T14:32:00Z,2021,nonlethal,40.054176,-75.17891347
2021-01-31T07:16:00Z,2021,lethal,40.0509059,-75.17293791
2021-01-31T02:15:00Z,2021,nonlethal,40.0509059,-75.17293791
2021-01-31T07:45:00Z,2021,nonlethal,40.03454869,-75.17312653
2021-02-04T21:24:00Z,2021,lethal,40.06398235,-75.14715542
2021-02-04T16:24:00Z,2021,nonlethal,40.06398235,-75.14715542
2021-02-14T17:25:00Z,2021,nonlethal,40.03438884,-75.16036332
2021-02-14T17:25:00Z,2021,nonlethal,40.03438884,-75.16036332
2021-02-19T22:27:00Z,2021,nonlethal,40.07063402,-75.15851515
2021-02-20T19:40:00Z,2021,nonlethal,40.04582159,-75.16119015
2021-02-21T05:25:00Z,2021,lethal,40.07987956,-75.17557916
2021-02-25T19:18:00Z,2021,nonlethal,40.06031271,-75.16983276
2021-02-27T21:24:00Z,2021,lethal,40.04539129,-75.16655934
2021-03-08T17:50:00Z,2021,lethal,40.04323169,-75.17601558
2021-03-11T01:20:00Z,2021,lethal,40.07429907,-75.17783318
2021-03-27T20:04:00Z,2021,nonlethal,40.07342721,-75.16881551
2021-03-28T19:43:00Z,2021,nonlethal,40.04254643,-75.16601876
2021-03-30T06:00:00Z,2021,nonlethal,40.04065186,-75.16984631
2021-04-10T19:39:00Z,2021,lethal,40.06434969,-75.14690631
2021-04-10T21:46:00Z,2021,nonlethal,40.04383053,-75.17635198
2021-04-11T00:12:00Z,2021,nonlethal,40.04167097,-75.16390838
2021-04-24T17:22:00Z,2021,lethal,40.03767867,-75.1686634
2021-04-24T19:00:00Z,2021,nonlethal,40.04019951,-75.17336814
2021-04-24T19:30:00Z,2021,nonlethal,40.03063209,-75.16612227
2021-04-27T23:42:00Z,2021,nonlethal,40.04240155,-75.16220284
2021-04-30T19:06:00Z,2021,lethal,40.06411254,-75.15900996
2021-05-15T21:51:00Z,2021,lethal,40.0679797,-75.1575421
2021-05-23T22:02:00Z,2021,nonlethal,40.04562745,-75.1840302
2021-05-26T14:11:00Z,2021,nonlethal,40.05188732,-75.16011165
2021-06-01T21:51:00Z,2021,nonlethal,40.05223152,-75.15800807
2021-06-01T21:52:00Z,2021,lethal,40.05223152,-75.15800807
2021-06-07T17:11:00Z,2021,nonlethal,40.04781587,-75.16440987
2021-01-27T18:44:00Z,2021,lethal,40.03097318,-75.16133387
2021-01-22T23:49:00Z,2021,nonlethal,40.06001467,-75.15165137
2021-01-16T13:19:00Z,2021,nonlethal,40.05425355,-75.15779219
2021-06-08T16:22:00Z,2021,lethal,40.04443033,-75.17471423
2021-06-09T14:51:00Z,2021,nonlethal,40.05820799,-75.16299355
2021-06-09T14:51:00Z,2021,nonlethal,40.05820799,-75.16299355
2021-06-19T00:53:00Z,2021,nonlethal,40.03556771,-75.17497383
2021-06-21T23:13:00Z,2021,lethal,40.04707729,-75.17914741
2021-06-24T13:20:00Z,2021,nonlethal,40.03317172,-75.16489639
2021-06-28T00:11:00Z,2021,nonlethal,40.04584557,-75.16553027
2021-07-01T12:25:00Z,2021,nonlethal,40.04296363,-75.16392256
2021-07-01T16:25:00Z,2021,nonlethal,40.04296363,-75.16392256
2021-07-02T14:47:00Z,2021,nonlethal,40.07092171,-75.15733613
2021-07-02T14:47:00Z,2021,nonlethal,40.07092171,-75.15733613
2021-07-02T14:47:00Z,2021,nonlethal,40.07092171,-75.15733613
2021-07-02T14:47:00Z,2021,nonlethal,40.07092171,-75.15733613
2021-07-02T14:47:00Z,2021,lethal,40.07092171,-75.15733613
2021-07-11T19:39:00Z,2021,nonlethal,40.03583006,-75.1747271
2021-07-17T18:45:00Z,2021,nonlethal,40.04005707,-75.16976443
2021-07-18T15:31:00Z,2021,nonlethal,40.03456355,-75.16179993
2021-07-18T15:31:00Z,2021,nonlethal,40.03456355,-75.16179993
2021-07-18T17:20:00Z,2021,nonlethal,40.05296052,-75.18114605
2021-07-18T17:20:00Z,2021,nonlethal,40.05296052,-75.18114605
2021-07-30T23:08:00Z,2021,nonlethal,40.03113428,-75.16160877
2021-08-02T13:30:00Z,2021,nonlethal,40.07569381,-75.17321127
2021-08-03T21:00:00Z,2021,nonlethal,40.05925619,-75.15827711
2021-08-18T18:49:00Z,2021,nonlethal,40.0674918,-75.14851658
2021-08-18T20:54:00Z,2021,lethal,40.05474045,-75.1840721
2021-08-21T22:34:00Z,2021,nonlethal,40.03396064,-75.19206669
2021-08-24T20:12:00Z,2021,nonlethal,40.0297604,-75.16409999
2021-09-03T03:08:00Z,2021,nonlethal,40.04563931,-75.17677321
2021-09-06T14:29:00Z,2021,nonlethal,40.03314717,-75.1632988
2021-09-06T14:28:00Z,2021,nonlethal,40.03314717,-75.1632988
2021-09-09T20:07:00Z,2021,nonlethal,40.04636516,-75.16691252
2021-09-09T20:07:00Z,2021,nonlethal,40.04636516,-75.16691252
2021-09-10T14:21:00Z,2021,nonlethal,40.06863663,-75.15028464
2021-09-10T17:54:00Z,2021,nonlethal,40.02953844,-75.16263618
2021-09-13T14:20:00Z,2021,nonlethal,40.06771012,-75.16904779
2021-09-16T20:31:00Z,2021,nonlethal,40.04753624,-75.16391697
2021-09-18T00:33:00Z,2021,nonlethal,40.03209661,-75.17845387
2021-09-18T00:33:00Z,2021,nonlethal,40.03209661,-75.17845387
2021-09-21T02:33:00Z,2021,nonlethal,40.04232266,-75.17726797
2021-09-27T00:04:00Z,2021,nonlethal,40.04298277,-75.16177078
2021-09-28T15:16:00Z,2021,nonlethal,40.06044632,-75.15499873
2021-09-28T15:16:00Z,2021,nonlethal,40.06044632,-75.15499873
2021-10-13T23:47:00Z,2021,lethal,40.05621216,-75.16944761
2021-10-26T09:30:00Z,2021,nonlethal,40.06882125,-75.17529813
2021-10-26T18:23:00Z,2021,nonlethal,40.04103673,-75.1717227
2021-10-26T18:23:00Z,2021,nonlethal,40.04103673,-75.1717227
2021-11-01T21:12:00Z,2021,nonlethal,40.05925619,-75.15827711
2021-11-05T23:00:00Z,2021,nonlethal,40.05329616,-75.17532316
2021-11-17T23:53:00Z,2021,nonlethal,40.0456381,-75.17659627
2021-11-22T19:20:00Z,2021,lethal,40.0639525,-75.15281885
2021-11-26T02:00:00Z,2021,nonlethal,40.04678391,-75.15994337
2021-11-26T19:07:00Z,2021,nonlethal,40.04651751,-75.15974268
2021-11-26T20:41:00Z,2021,lethal,40.06416735,-75.18449197
2021-12-12T23:15:00Z,2021,nonlethal,40.06920593,-75.15378704
2021-12-14T11:37:00Z,2021,nonlethal,40.06431647,-75.15904445
2021-12-15T14:37:00Z,2021,nonlethal,40.05676551,-75.17920873
2021-12-30T23:46:00Z,2021,nonlethal,40.03063209,-75.16612227
